semaine;date;date_fr;heure;plateforme;univers;article;slug;appat_seo;texte;lien;image
4;2026-09-24;jeudi 24 sept. 2026;07:30;LinkedIn;ÉPS;Rentrée scolaire en EPS : guide de démarrage;rentree-scolaire;;"En éducation physique, la première semaine détermine une large part de l'année : les routines installées à ce moment-là deviennent les automatismes du groupe pour les dix mois suivants.
Cet article détaille ce qui mérite d'être posé dès les premiers cours — signaux d'arrêt et de regroupement, règles de circulation, protocole d'entrée et de sortie du gymnase, gestion du matériel — ainsi que la préparation matérielle à faire en amont.
Il aborde également le volet professionnel de la rentrée pour les personnes en début de carrière : dossier au centre de services scolaire, préparation aux entrevues, stratégies de réseautage.
https://zonetotalsport.ca/articles/rentree-scolaire.html";https://zonetotalsport.ca/articles/rentree-scolaire.html;promo/rentree-scolaire-carre.webp
4;2026-09-27;dimanche 27 sept. 2026;10:00;X;ÉPS;Rentrée scolaire en EPS : guide de démarrage;rentree-scolaire;;"La première semaine en ÉPS se joue dans les routines, pas dans le contenu.
Signaux, règles, entrée et sortie du gymnase, matériel à prévoir : le guide de démarrage d'année :
https://zonetotalsport.ca/articles/rentree-scolaire.html
#ÉPS #rentréescolaire";https://zonetotalsport.ca/articles/rentree-scolaire.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/rentree-scolaire.jpg)
5;2026-09-29;mardi 29 sept. 2026;19:00;Facebook;service de garde + ÉPS + camp de jour;Jeux inclusifs : un seul jeu, trois versions;un-jeu-trois-versions;;"Un jour, pour « inclure » un enfant, je lui ai donné une tâche à part pendant que les autres jouaient. J'étais fier de moi. Sauf que je venais de fabriquer l'exclusion en pensant faire de l'inclusion.
L'article explique la méthode des 4 boutons — ZONE, RYTHME, RÔLE, RETOUR — pour adapter un jeu sans jamais sortir l'enfant du groupe, avec 30 solutions concrètes réparties entre le gymnase, le camp de jour pis le service de garde.
Ça t'est déjà arrivé, toi, de réaliser après coup que ton adaptation isolait au lieu d'inclure ?
👉 https://zonetotalsport.ca/articles/un-jeu-trois-versions.html";https://zonetotalsport.ca/articles/un-jeu-trois-versions.html;promo/un-jeu-trois-versions-carre.webp
5;2026-10-01;jeudi 1 oct. 2026;07:30;LinkedIn;service de garde + ÉPS + camp de jour;Jeux inclusifs : un seul jeu, trois versions;un-jeu-trois-versions;;"Adapter une activité pour un enfant à besoins particuliers tourne souvent au piège : en créant une version « spéciale », on retire l'enfant du jeu commun tout en croyant l'inclure.
Cet article propose une méthode en quatre variables — la zone, le rythme, le rôle et le retour — qui permet de faire coexister trois niveaux de difficulté dans un seul et même jeu.
Un exemple filé (le ballon chasseur) montre le principe décliné en gymnase, en camp de jour et en service de garde, suivi de 30 solutions concrètes, dix par milieu.
La dernière section propose trois gestes applicables dès le prochain lundi, sans matériel supplémentaire.
Particulièrement pertinent pour les équipes de service de garde scolaire qui accueillent des groupes très hétérogènes en fin de journée.
https://zonetotalsport.ca/articles/un-jeu-trois-versions.html";https://zonetotalsport.ca/articles/un-jeu-trois-versions.html;promo/un-jeu-trois-versions-carre.webp
5;2026-10-04;dimanche 4 oct. 2026;10:00;X;service de garde + ÉPS + camp de jour;Jeux inclusifs : un seul jeu, trois versions;un-jeu-trois-versions;;"Adapter un jeu pour un enfant à besoins particuliers sans créer une activité à part : la méthode des 4 boutons + 30 solutions terrain.
https://zonetotalsport.ca/articles/un-jeu-trois-versions.html
#servicedegarde #inclusion #ÉPS";https://zonetotalsport.ca/articles/un-jeu-trois-versions.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/un-jeu-trois-versions.jpg)
6;2026-10-06;mardi 6 oct. 2026;19:00;Facebook;ÉPS;Jeux de course pour le 1er cycle : 12 idées EPS;jeux-course-1er-cycle;;"« On court-tu encore ? » — la phrase qui tue en 1re année.
Le problème, c'est rarement la course : c'est de courir pour rien. On a rassemblé 12 jeux de course pour le 1er cycle, avec un bagage moteur léger et des variantes pour relancer sans tout réexpliquer : attrape la souris, les feux de circulation, l'invasion, le mur de résistance…
Simples à monter, faciles à comprendre en 30 secondes.
Ton classique de 1re-2e année qui fonctionne toujours, c'est lequel ?
👉 https://zonetotalsport.ca/articles/jeux-course-1er-cycle.html";https://zonetotalsport.ca/articles/jeux-course-1er-cycle.html;promo/jeux-course-1er-cycle-carre.webp
6;2026-10-08;jeudi 8 oct. 2026;07:30;LinkedIn;ÉPS;Jeux de course pour le 1er cycle : 12 idées EPS;jeux-course-1er-cycle;;"Au 1er cycle du primaire, la course est souvent utilisée comme remplissage : on fait courir parce qu'il faut dépenser de l'énergie, sans intention motrice claire.
Cet article propose 12 jeux de course construits sur un bagage moteur volontairement léger — les consignes tiennent en une trentaine de secondes — avec, pour chacun, des variantes permettant de relancer le jeu sans réexpliquer.
L'ensemble couvre plusieurs familles : poursuite, invasion, relais d'obstacles, jeux de capture et de stratégie.
Une base solide pour bâtir une séquence de début d'année en éducation physique au primaire.
https://zonetotalsport.ca/articles/jeux-course-1er-cycle.html";https://zonetotalsport.ca/articles/jeux-course-1er-cycle.html;promo/jeux-course-1er-cycle-carre.webp
6;2026-10-11;dimanche 11 oct. 2026;10:00;X;ÉPS;Jeux de course pour le 1er cycle : 12 idées EPS;jeux-course-1er-cycle;;"12 jeux de course pour le 1er cycle : bagage moteur léger, consignes de 30 secondes, variantes pour relancer.
Pour ne plus jamais faire courir « pour rien » :
https://zonetotalsport.ca/articles/jeux-course-1er-cycle.html
#ÉPS #éducationphysique #primaire";https://zonetotalsport.ca/articles/jeux-course-1er-cycle.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/jeux-course-1er-cycle.jpg)
7;2026-10-13;mardi 13 oct. 2026;19:00;Facebook;camp de jour + ÉPS;Courbe du plaisir : combien de temps un jeu en EPS;courbe-plaisir-jeu;;"Tu connais le moment. Le jeu roule, tout le monde embarque… pis d'un coup, ça s'effrite. Deux qui chialent, trois qui s'assoient.
C'est pas ton groupe le problème : c'est la courbe du plaisir. Chaque jeu monte, plafonne, pis redescend — le truc, c'est d'arrêter avant la descente.
L'article explique comment lire les signaux, quand relancer, pis quand changer complètement d'activité.
Toi, tu le sens comment que c'est le temps d'arrêter un jeu ?
👉 https://zonetotalsport.ca/articles/courbe-plaisir-jeu.html";https://zonetotalsport.ca/articles/courbe-plaisir-jeu.html;promo/courbe-plaisir-jeu-carre.webp
7;2026-10-15;jeudi 15 oct. 2026;07:30;LinkedIn;camp de jour + ÉPS;Courbe du plaisir : combien de temps un jeu en EPS;courbe-plaisir-jeu;;"L'engagement dans un jeu suit une courbe en U inversé : montée, plateau, puis décrochage. La compétence d'animation ne consiste pas à trouver le jeu parfait, mais à reconnaître le sommet de cette courbe et à arrêter juste avant.
Cet article détaille les causes de désorganisation d'une activité (écart de compétences, conflits, pression des pairs), les signaux observables du décrochage, et les leviers pour prolonger le plateau : variation des défis, rétroaction, rotation des rôles.
C'est une compétence directement transférable en camp de jour, où une même journée enchaîne huit à dix activités et où le coût d'un jeu qui s'étire est immédiat.
https://zonetotalsport.ca/articles/courbe-plaisir-jeu.html";https://zonetotalsport.ca/articles/courbe-plaisir-jeu.html;promo/courbe-plaisir-jeu-carre.webp
7;2026-10-18;dimanche 18 oct. 2026;10:00;X;camp de jour + ÉPS;Courbe du plaisir : combien de temps un jeu en EPS;courbe-plaisir-jeu;;"Un jeu monte, plafonne, puis s'effrite. Le secret : arrêter avant la descente.
La courbe du plaisir, les signaux à lire et quand relancer un groupe qui décroche :
https://zonetotalsport.ca/articles/courbe-plaisir-jeu.html
#campdejour #animation #ÉPS";https://zonetotalsport.ca/articles/courbe-plaisir-jeu.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/courbe-plaisir-jeu.jpg)
8;2026-10-20;mardi 20 oct. 2026;19:00;Facebook;ÉPS + camp de jour + service de garde;Grands groupes en gymnase : 21 stratégies EPS;50-jeunes-un-gymnase;;"Deux groupes fusionnés, un remplaçant qui ne s'est pas présenté, pis te v'là avec 50 jeunes dans un gymnase prévu pour 25.
On a compilé 21 stratégies pour survivre — pis même bien travailler — dans cette situation-là : le bruit, le manque de matériel, les écarts de niveaux, la surcharge sensorielle, les transitions qui virent au chaos.
Sept stratégies pour l'ÉPS, sept pour le camp de jour, sept pour le service de garde. Tout testé sur le terrain.
C'est quoi ton record personnel de jeunes dans un gymnase ?
👉 https://zonetotalsport.ca/articles/50-jeunes-un-gymnase.html";https://zonetotalsport.ca/articles/50-jeunes-un-gymnase.html;promo/50-jeunes-un-gymnase-carre.webp
8;2026-10-22;jeudi 22 oct. 2026;07:30;LinkedIn;ÉPS + camp de jour + service de garde;Grands groupes en gymnase : 21 stratégies EPS;50-jeunes-un-gymnase;;"Les grands groupes en gymnase ne sont plus l'exception : fusion de classes, absence non remplacée, journée pédagogique, période de pluie en camp — la situation revient plusieurs fois par mois.
Cet article part de sept problématiques documentées (acoustique, matériel insuffisant, écarts de compétences motrices, surcharge sensorielle, transitions, fatigue de fin de journée) et propose 21 stratégies réparties par métier.
La structure est volontairement séparée : ce qui fonctionne en enseignement structuré n'est pas ce qui fonctionne en animation, et l'article assume cette distinction plutôt que de la lisser.
Les besoins particuliers (TDAH, TSA, limitation motrice) sont traités dès la conception des activités, pas en correctif.
https://zonetotalsport.ca/articles/50-jeunes-un-gymnase.html";https://zonetotalsport.ca/articles/50-jeunes-un-gymnase.html;promo/50-jeunes-un-gymnase-carre.webp
8;2026-10-25;dimanche 25 oct. 2026;10:00;X;ÉPS + camp de jour + service de garde;Grands groupes en gymnase : 21 stratégies EPS;50-jeunes-un-gymnase;;"50 jeunes dans un gymnase prévu pour 25 : 21 stratégies pour le bruit, le matériel, les écarts de niveaux et les transitions.
7 pour l'ÉPS, 7 pour le camp, 7 pour le SDG :
https://zonetotalsport.ca/articles/50-jeunes-un-gymnase.html
#ÉPS #gestiondeclasse";https://zonetotalsport.ca/articles/50-jeunes-un-gymnase.html;carte OG automatique (https://zonetotalsport.ca/articles/images/Images%20article%2050%20jeunes%20gymnase%20/image%201%20article%20blig%2050%20jeunes%201%20gymnase.png)
9;2026-10-27;mardi 27 oct. 2026;19:00;Facebook;ÉPS;Respect en EPS : installer une culture saine;respect-eps;;"Le respect, ça ne s'affiche pas sur un carton au mur : ça s'installe, semaine après semaine, avec des rituels.
L'article propose cinq outils pédagogiques concrets pour bâtir une vraie culture de respect au gymnase — dont la fiche réflexive à choix multiples, celle qui fait réfléchir l'élève au lieu de le punir dans le vide.
Il y a aussi des exemples de conséquences qui ont du sens, pas juste des punitions.
Ton rituel d'ouverture de cours, il ressemble à quoi ?
👉 https://zonetotalsport.ca/articles/respect-eps.html";https://zonetotalsport.ca/articles/respect-eps.html;promo/respect-eps-carre.webp
9;2026-10-29;jeudi 29 oct. 2026;07:30;LinkedIn;ÉPS;Respect en EPS : installer une culture saine;respect-eps;;"Le respect en éducation physique est rarement un problème de règles : les règles existent presque toujours. C'est un problème de rituels — ce qui est répété assez souvent pour devenir une norme de groupe.
Cet article présente cinq outils pédagogiques éprouvés au primaire (lettres, présentations d'élèves, journaux de bord, affiches co-construites, fiches réflexives à choix multiples) et explique comment les articuler à un système de conséquences cohérent.
La fiche réflexive, en particulier, déplace la logique de la sanction vers la responsabilisation, sans allonger le temps de gestion pendant le cours.
https://zonetotalsport.ca/articles/respect-eps.html";https://zonetotalsport.ca/articles/respect-eps.html;promo/respect-eps-carre.webp
9;2026-11-01;dimanche 1 nov. 2026;10:00;X;ÉPS;Respect en EPS : installer une culture saine;respect-eps;;"Le respect au gymnase, ça s'installe avec des rituels, pas avec une affiche.
5 outils pédagogiques concrets, dont la fiche réflexive qui fait réfléchir au lieu de punir dans le vide :
https://zonetotalsport.ca/articles/respect-eps.html
#ÉPS #climatscolaire";https://zonetotalsport.ca/articles/respect-eps.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/respect-eps.jpg)
10;2026-11-03;mardi 3 nov. 2026;19:00;Facebook;ÉPS;Élèves cotés en EPS : adapter ses cours;eleves-cotes-eps;;"T'as un élève coté dans ton groupe, un plan d'intervention de trois pages, pis 40 minutes pour faire bouger 26 jeunes. On fait quoi, concrètement ?
L'article passe à travers les grandes familles de cotes — troubles du comportement, déficiences intellectuelles et motrices, enjeux sensoriels et de communication — avec des adaptations qui fonctionnent en gymnase, sans sortir l'élève du groupe.
C'est du pratique, pas du copier-coller de politique ministérielle.
Ton adaptation la plus payante jusqu'à maintenant, c'était quoi ?
👉 https://zonetotalsport.ca/articles/eleves-cotes-eps.html";https://zonetotalsport.ca/articles/eleves-cotes-eps.html;promo/eleves-cotes-eps-carre.webp
10;2026-11-05;jeudi 5 nov. 2026;07:30;LinkedIn;ÉPS;Élèves cotés en EPS : adapter ses cours;eleves-cotes-eps;;"Les plans d'intervention sont écrits pour la classe. Le gymnase, lui, a ses propres contraintes : grand espace, bruit, déplacements rapides, matériel partagé, transitions nombreuses.
Cet article traduit les principales familles de cotes — troubles du comportement, déficiences intellectuelles, déficiences motrices, enjeux sensoriels et de communication — en adaptations concrètes applicables pendant un cours d'éducation physique.
Le principe directeur reste le même du début à la fin : adapter l'activité plutôt que retirer l'élève, et conserver la participation au jeu commun comme critère de réussite de l'adaptation.
https://zonetotalsport.ca/articles/eleves-cotes-eps.html";https://zonetotalsport.ca/articles/eleves-cotes-eps.html;promo/eleves-cotes-eps-carre.webp
10;2026-11-08;dimanche 8 nov. 2026;10:00;X;ÉPS;Élèves cotés en EPS : adapter ses cours;eleves-cotes-eps;;"Un élève coté, un plan d'intervention de 3 pages et 40 minutes pour faire bouger 26 jeunes : on fait quoi concrètement ?
Adaptations par famille de cotes, applicables en gymnase :
https://zonetotalsport.ca/articles/eleves-cotes-eps.html
#ÉPS #inclusion";https://zonetotalsport.ca/articles/eleves-cotes-eps.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/eleves-cotes-eps.jpg)
11;2026-11-10;mardi 10 nov. 2026;19:00;Facebook;ÉPS;Syndrome du gymnase : repérer l'épuisement EPS;syndrome-gymnase;;"Tu cries plus fort qu'avant. Tu commences à trouver tes groupes « pénibles ». Tu comptes les jours jusqu'au congé pédagogique.
Ce n'est pas juste de la fatigue de novembre. L'article décrit 8 signes du syndrome du gymnase — l'épuisement professionnel version prof d'éducation physique — pis 5 réflexes pour désamorcer avant de frapper le mur.
Ça se lit en 10 minutes, pis ça vaut la peine même si tu penses que ça ne s'adresse pas à toi.
Tu le reconnais, ce moment-là dans l'année ?
👉 https://zonetotalsport.ca/articles/syndrome-gymnase.html";https://zonetotalsport.ca/articles/syndrome-gymnase.html;promo/syndrome-gymnase-carre.webp
11;2026-11-12;jeudi 12 nov. 2026;07:30;LinkedIn;ÉPS;Syndrome du gymnase : repérer l'épuisement EPS;syndrome-gymnase;;"L'épuisement professionnel en éducation physique prend une forme particulière : bruit constant, charge vocale, grands groupes, isolement dans l'école, et une fatigue physique qui masque longtemps la fatigue psychologique.
Cet article décrit huit signes précurseurs observables et cinq réflexes de désamorçage applicables avant que la situation ne devienne un arrêt de travail.
Il s'adresse autant aux enseignants qu'aux directions, qui sont souvent les mieux placées pour repérer ces signaux chez un membre de leur équipe et intervenir tôt.
https://zonetotalsport.ca/articles/syndrome-gymnase.html";https://zonetotalsport.ca/articles/syndrome-gymnase.html;promo/syndrome-gymnase-carre.webp
11;2026-11-15;dimanche 15 nov. 2026;10:00;X;ÉPS;Syndrome du gymnase : repérer l'épuisement EPS;syndrome-gymnase;;"Crier plus fort qu'avant, trouver ses groupes « pénibles », compter les jours : 8 signes du syndrome du gymnase et 5 réflexes pour désamorcer avant le mur.
https://zonetotalsport.ca/articles/syndrome-gymnase.html
#ÉPS #santéautravail";https://zonetotalsport.ca/articles/syndrome-gymnase.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/syndrome-gymnase.jpg)
12;2026-11-17;mardi 17 nov. 2026;19:00;Facebook;ÉPS;Classes difficiles en EPS : poser le cadre (1/3);classes-difficiles-partie-1;;"Y'a des groupes qui te font douter de ton choix de carrière. On a écrit un guide en trois parties pour ceux-là.
La partie 1 s'attaque au début : comprendre d'où vient le comportement (famille, besoins non comblés, opposition), bâtir une vraie relation de confiance, pis poser le cadre dès la première minute de cours.
Parce qu'un cadre installé en septembre, c'est trois mois de gestion en moins.
Ton premier cours avec un groupe difficile, tu le commences comment ?
👉 https://zonetotalsport.ca/articles/classes-difficiles-partie-1.html";https://zonetotalsport.ca/articles/classes-difficiles-partie-1.html;promo/classes-difficiles-partie-1-carre.webp
12;2026-11-19;jeudi 19 nov. 2026;07:30;LinkedIn;ÉPS;Classes difficiles en EPS : poser le cadre (1/3);classes-difficiles-partie-1;;"Premier volet d'un guide en trois parties sur les groupes difficiles en éducation physique.
Cette première partie porte sur ce qui précède l'intervention : identifier les causes probables d'un comportement (contexte familial, besoins non satisfaits, difficultés d'apprentissage, trouble oppositionnel), construire une relation de confiance authentique, et poser un cadre lisible dès les premières minutes du premier cours.
Le postulat de départ est simple : la gestion de classe se joue davantage en septembre qu'en janvier, et un cadre installé tôt réduit mécaniquement le volume d'interventions du reste de l'année.
https://zonetotalsport.ca/articles/classes-difficiles-partie-1.html";https://zonetotalsport.ca/articles/classes-difficiles-partie-1.html;promo/classes-difficiles-partie-1-carre.webp
12;2026-11-22;dimanche 22 nov. 2026;10:00;X;ÉPS;Classes difficiles en EPS : poser le cadre (1/3);classes-difficiles-partie-1;;"Guide en 3 volets sur les classes difficiles en ÉPS. Partie 1 : comprendre d'où vient le comportement, bâtir la confiance, poser le cadre dès la 1re minute.
https://zonetotalsport.ca/articles/classes-difficiles-partie-1.html
#ÉPS #gestiondeclasse";https://zonetotalsport.ca/articles/classes-difficiles-partie-1.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/classes-difficiles-partie-1.jpg)
13;2026-11-24;mardi 24 nov. 2026;19:00;Facebook;ÉPS;Classes difficiles en EPS : stratégies (2/3);classes-difficiles-partie-2;;"Partie 2 du guide sur les classes difficiles : cette fois, on est dans le feu de l'action.
Règles claires, routines prévisibles, renforcement positif qui ne sonne pas faux, gestion du temps, transitions qui ne dégénèrent pas. Des stratégies d'intervention à appliquer en direct, pendant que le cours roule.
La partie 1 posait le cadre; celle-ci, c'est le mode d'emploi quand ça déborde quand même.
Les transitions, c'est-tu ton point faible à toi aussi ?
👉 https://zonetotalsport.ca/articles/classes-difficiles-partie-2.html";https://zonetotalsport.ca/articles/classes-difficiles-partie-2.html;promo/classes-difficiles-partie-2-carre.webp
13;2026-11-26;jeudi 26 nov. 2026;07:30;LinkedIn;ÉPS;Classes difficiles en EPS : stratégies (2/3);classes-difficiles-partie-2;;"Deuxième volet du guide sur les groupes difficiles en éducation physique, consacré à l'intervention en temps réel.
On y traite des routines qui rendent le cours prévisible, du renforcement positif appliqué avec assez de précision pour rester crédible, de la gestion du temps et des transitions — le moment où se produit la majorité des débordements.
La dernière section aborde l'adaptation pédagogique comme levier de gestion : une activité mal calibrée génère plus de comportements difficiles qu'un manque d'autorité.
À lire à la suite de la partie 1, qui porte sur l'installation du cadre.
https://zonetotalsport.ca/articles/classes-difficiles-partie-2.html";https://zonetotalsport.ca/articles/classes-difficiles-partie-2.html;promo/classes-difficiles-partie-2-carre.webp
13;2026-11-29;dimanche 29 nov. 2026;10:00;X;ÉPS;Classes difficiles en EPS : stratégies (2/3);classes-difficiles-partie-2;;"Classes difficiles en ÉPS, partie 2 : les stratégies d'intervention en direct. Routines prévisibles, renforcement positif, transitions qui ne dégénèrent pas.
https://zonetotalsport.ca/articles/classes-difficiles-partie-2.html
#ÉPS #gestiondeclasse";https://zonetotalsport.ca/articles/classes-difficiles-partie-2.html;carte OG automatique (https://zonetotalsport.ca/articles/images/heroes/classes-difficiles-partie-2.jpg)
14;2026-12-01;mardi 1 déc. 2026;19:00;Facebook;ÉPS;Classes difficiles en EPS : durer (3/3);classes-difficiles-partie-3;;"Partie 3, la plus rare : comment on se relève d'un cours qui a mal viré, pis comment on tient jusqu'en juin.
On parle de gestion de conflits, de collaboration avec les parents, d'observation ciblée des comportements qui reviennent, pis de la fatigue qui s'accumule quand on recommence chaque semaine avec le même groupe.
C'est la partie que personne n'écrit, parce qu'elle parle de durée plutôt que de trucs.
Après une séance qui vire mal, tu fais quoi pour décrocher ?
👉 https://zonetotalsport.ca/articles/classes-difficiles-partie-3.html";https://zonetotalsport.ca/articles/classes-difficiles-partie-3.html;promo/classes-difficiles-partie-3-carre.webp
